ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Kwon S.W.,Nishioka Y.,53.0,81.0,1115.0,823.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.7,2.26,1.76,2.5,1.64,2.22
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Vukic A.,85.0,156.0,812.0,440.0,6.0,4.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.21,1.74,2.3,1.8,2.1,1.72
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Monteiro T.,Altmaier D.,89.0,84.0,805.0,813.0,6.0,2.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.61,2.49,1.6,2.6,1.62,2.38,1.57
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Djere L.,Carballes Baena R.,52.0,79.0,1131.0,837.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.81,2.1,1.83,2.26,1.7,2.12
2,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Griekspoor T.,Koepfer D.,65.0,54.0,966.0,1101.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.54,2.62,1.62,2.65,1.54,2.46
2,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Mcdonald M.,Gojowczyk P.,55.0,86.0,1084.0,808.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.4,3.2,1.44,3.24,1.36,3.05
2,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Van De Zandschulp B.,Mannarino A.,57.0,71.0,1034.0,879.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.5,2.77,1.53,3.1,1.46,2.67
2,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Bagnis F.,Murray A.,76.0,134.0,860.0,521.0,6.0,3.0,5.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,7.0,1.1,8.72,1.09,8.8,1.11,7.51,1.08
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Kokkinakis T.,Millman J.,171.0,72.0,394.0,875.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.1,1.8,2.11,1.87,2.15,1.77,2.03
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Moutet C.,Rune H.,92.0,103.0,797.0,740.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.66,1.53,2.81,1.54,2.64,1.47
