player_1,player_2,Winner,Location,Tournament,Date,Series,Court,Best of,Surface,Round,elo_player_1,elo_player_2,surface_elo_player_1,surface_elo_player_2,days_since_1,days_since_2,form5_1,form5_2,form10_1,form10_2,avg_opp5_1,avg_opp5_2,avg_opp10_1,avg_opp10_2
Kwon S.W.,Nishioka Y.,player_1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,1.0,0.0,1.0,0.0,1500.0,1500.0,1500.0,1500.0
Johnson S.,Vukic A.,player_1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,1.0,0.0,1.0,0.0,1500.0,1500.0,1500.0,1500.0
Monteiro T.,Altmaier D.,player_1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,1.0,0.0,1.0,0.0,1500.0,1500.0,1500.0,1500.0
Djere L.,Carballes Baena R.,player_1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,1.0,0.0,1.0,0.0,1500.0,1500.0,1500.0,1500.0
Griekspoor T.,Koepfer D.,player_1,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,1.0,0.0,1.0,0.0,1500.0,1500.0,1500.0,1500.0
Gojowczyk P.,Mcdonald M.,player_2,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,0.0,1.0,0.0,1.0,1500.0,1500.0,1500.0,1500.0
Mannarino A.,Van De Zandschulp B.,player_2,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,0.0,1.0,0.0,1.0,1500.0,1500.0,1500.0,1500.0
Murray A.,Bagnis F.,player_2,Melbourne,Melbourne Summer Set,2022-01-04,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,0.0,1.0,0.0,1.0,1500.0,1500.0,1500.0,1500.0
Millman J.,Kokkinakis T.,player_2,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,0.0,1.0,0.0,1.0,1500.0,1500.0,1500.0,1500.0
Moutet C.,Rune H.,player_1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,1.0,0.0,1.0,0.0,1500.0,1500.0,1500.0,1500.0
